slug,title,fluff_phrases,intro_word_count,related_count,substitution_notes,dietary_tips,doneness_review_candidates,doneness_examples,bare_oven_celsius
lanzhou-beef-noodles,Lanzhou Beef Noodle Soup,,90,4,3,0,1,step 9: Boil the noodles as the packet directs and divide between bowls.,0
latkes,Potato Latkes,,126,4,0,1,1,step 8: Drain on a rack rather than kitchen paper — paper steams the underside — and salt at once.,0
lechon-kawali,Lechon Kawali,,69,4,2,1,1,step 5: Take it out an hour before frying. Pat the skin dry again and prick it all over with a skewer.,0
lemon-drizzle-cake,Lemon Drizzle Cake,,82,4,1,0,1,"step 6: While it bakes, stir the granulated sugar and lemon juice together. Do not heat it — the sugar should stay granular.",0
lumpia,Lumpiang Shanghai,,85,4,3,2,1,"step 2: Fry a teaspoon of the mixture to taste it, and correct the seasoning.",0
mamaliga,Mămăligă,,106,4,0,0,1,step 1: Bring the water to a rolling boil in a heavy pan and add the salt.,0
mashed-potatoes,Creamy Mashed Potatoes,,119,4,1,0,1,step 5: Warm the milk and cream together until steaming; cold dairy will chill the mash and force you to overwork it.,0
pappardelle-al-cinghiale,Pappardelle al Cinghiale,,102,4,1,0,1,"step 7: Boil the pappardelle, drain, and toss through the ragù with a splash of the pasta water.",0
pasta-alla-genovese,Pasta alla Genovese,,107,4,1,0,1,"step 7: Boil the pasta, drain, and toss through the sauce with a splash of the water and the parmesan.",0
pho-bo,Phở Bò (Beef Noodle Soup),,74,4,3,1,1,"step 9: Lay the raw sirloin and sliced brisket over the noodles, then ladle the boiling broth over — it will cook the raw beef in seconds.",0
pho-ga,Phở Gà,,92,4,3,1,1,step 9: Soak or boil the noodles as the packet directs and divide between bowls with the shredded chicken.,0
poulet-roti,Poulet Rôti,,112,4,3,0,1,"step 7: Skim the tin, add the stock, boil hard scraping the base, and whisk in the cold butter. Carve and serve with the juices.",0
ragu-bolognese,Ragù alla Bolognese,,95,4,1,0,1,"step 9: Boil the tagliatelle in well-salted water until al dente and drain, keeping a little water.",0
roasted-tomato-basil-soup,Roasted Tomato and Basil Soup,,94,4,2,0,1,"step 8: Taste for salt. If it still reads sharp, another few minutes of simmering will do more than sugar would.",0
sauerbraten,Sauerbraten,,79,4,0,0,1,"step 1: Bring the vinegar, wine, water, onions, carrots, spices, bay and salt to the boil, then cool completely.",0
scrambled-eggs,Perfect Scrambled Eggs,,82,4,1,0,1,"step 8: Pile onto the buttered toast, scatter the chives over and eat immediately.",0
sesame-peanut-noodles,Sesame Peanut Noodles,,121,4,3,1,1,"step 1: Bring a large pan of water to a boil and cook the noodles to the packet time. Reserve 250 ml of the cooking water, then drain and rinse the noodles under cold water until completely cool.",0
shoyu-ramen,Shoyu Ramen,,89,4,2,1,1,"step 9: Boil the noodles as the packet directs, drain hard, and lift into the bowls.",0
spaghetti-meatballs,Spaghetti and Meatballs,,79,4,2,0,1,step 9: Boil the spaghetti in well-salted water until al dente and drain.,0
tattie-scones,Tattie Scones,,89,4,0,1,1,"step 10: Serve hot, or cool and fry in bacon fat the next morning.",0
tempura,Crispy Vegetable Tempura,,89,4,0,2,1,"step 2: Make the tentsuyu: bring the dashi, soy sauce and mirin to a simmer, then cool. Serve with a mound of grated daikon stirred in at the table.",0
uttapam,Uttapam,,85,4,1,0,1,step 5: Heat a heavy frying pan over a medium heat and brush with sesame oil.,0
white-bean-stew,Tuscan White Bean Stew,,117,4,1,0,1,step 9: Serve over the garlic toast with parsley and a hard drizzle of good olive oil.,0
aam-panna,Aam Panna,,92,4,0,0,0,,0
acai-bowl,Açaí Bowl,,84,4,0,0,0,,0
ackee-and-saltfish,Ackee and Saltfish,,79,4,2,0,0,,0
adana-kebab,Adana Kebab,,87,4,1,0,0,,0
aeggekage,Æggekage,,99,4,0,1,0,,0
affogato,Affogato,,79,4,0,0,0,,0
agedashi-tofu,Agedashi Tofu,,92,4,2,1,0,,0
agnolotti,Agnolotti del Plin,,102,4,0,0,0,,0
agua-de-jamaica,Agua de Jamaica,,81,4,1,0,0,,0
aguachile,Aguachile,,77,4,3,0,0,,0
aioli,Aïoli,,109,4,1,0,0,,0
air-fryer-chicken-wings,Air Fryer Chicken Wings,,115,4,0,0,0,,0
aish-baladi,Aish Baladi,,108,4,0,0,0,,0
aji-de-gallina,Ají de Gallina,,88,4,1,0,0,,0
ajiaco,Ajiaco,,70,4,3,0,0,,0
albondigas,Albóndigas,,85,4,3,0,0,,0
alfajores,Alfajores,,74,4,0,0,0,,0
aligot,Aligot,,92,4,2,0,0,,0
almond-tofu,Almond Tofu,,111,4,0,0,0,,0
aloo-chaat,Aloo Chaat,,72,4,2,0,0,,0
aloo-gobi,Aloo Gobi,,74,4,3,0,0,,0
aloo-keema,Aloo Keema,,86,4,3,0,0,,0
aloo-paratha,Aloo Paratha,,90,4,2,0,0,,0
amaretti,Amaretti Morbidi,,116,4,0,0,0,,0
anchoiade,Anchoïade,,95,4,1,0,0,,0
anelletti-al-forno,Anelletti al Forno,,96,4,0,0,0,,0
angel-food-cake,Angel Food Cake,,123,4,0,0,0,,0
angels-on-horseback,Angels on Horseback,,109,4,0,0,0,,0
anticuchos,Anticuchos,,85,4,2,0,0,,0
anzac-biscuits,Anzac Biscuits,,84,4,0,0,0,,0
aperol-spritz,Aperol Spritz,,103,4,0,0,0,,0
apple-crisp,Apple Crisp,,107,4,0,0,0,,0
apple-crumble,Apple Crumble,,121,4,0,0,0,,0
apple-pie,Deep-Dish Apple Pie,,88,4,0,0,0,,0
apple-strudel,Apple Strudel,,77,4,0,0,0,,0
arancini,Sicilian Arancini,,80,4,1,1,0,,0
arayes,Arayes,,114,4,0,0,0,,0
arepas,Arepas,,88,4,2,0,0,,0
arroz-con-leche,Arroz con Leche,,86,4,1,0,0,,0
arroz-de-marisco,Arroz de Marisco,,87,4,2,0,0,,0
asab,Asab,,109,4,1,0,0,,0
ash-reshteh,Ash Reshteh,,80,4,3,0,0,,0
assidat-zgougou,Assidat Zgougou,,105,4,0,0,0,,0
atakilt-wat,Atakilt Wat,,100,4,2,0,0,,0
atayef-asafiri,Atayef Asafiri,,111,4,1,0,0,,0
aubergine-parmigiana,Griddled Aubergine Parmigiana,,107,4,1,0,0,,0
aussie-meat-pie,Australian Meat Pie,,124,4,1,2,0,,0
avgolemono-soup,Avgolemono Soup,,78,4,1,0,0,,0
avocado-toast,Ultimate Avocado Toast,,78,4,1,0,0,,0
ayam-goreng,Ayam Goreng,,81,4,2,0,0,,0
ayam-masak-merah,Ayam Masak Merah,,83,4,3,0,0,,0
ayran,Ayran,,74,4,1,0,0,,0
baba-au-rhum,Baba au Rhum,,92,4,1,0,0,,0
baba-ganoush,Baba Ganoush,,77,4,1,0,0,,0
baba-ghanoug-masri,Baba Ghanoug Masri,,96,4,1,0,0,,0
baba-napoletano,Babà Napoletano,,115,4,0,0,0,,0
bacalhau-a-bras,Bacalhau à Brás,,81,4,1,0,0,,0
bacon-wrapped-asparagus,Bacon-Wrapped Asparagus,,105,4,0,0,0,,0
bagels,New York Bagels,,89,4,0,0,0,,0
bagna-cauda,Bagna Cauda,,109,4,1,0,0,,0
bagnun,Bagnùn di Acciughe,,119,4,2,0,0,,0
baguette,French Baguette,,84,4,0,0,0,,0
baingan-bharta,Baingan Bharta,,85,4,3,0,0,,0
baked-avocado-eggs,Baked Avocado Eggs,,111,4,0,0,0,,0
baked-chicken-breast,Juicy Baked Chicken Breast,,128,4,1,0,0,,0
baked-cinnamon-apples,Baked Cinnamon Apples,,86,4,0,0,0,,0
baked-eggs-spinach-feta,Baked Eggs with Spinach and Feta,,95,4,1,0,0,,0
baked-potato,Baked Potato,,108,4,0,0,0,,0
baked-ziti,Baked Ziti,,125,4,2,0,0,,0
bakewell-tart,Bakewell Tart,,85,4,0,0,0,,0
baklava,Pistachio Baklava,,79,4,0,0,0,,0
balah-el-sham,Balah el Sham,,104,4,0,0,0,,0
baleadas,Baleadas,,91,4,1,1,0,,0
balila,Balila,,104,4,1,0,0,,0
bambalouni,Bambalouni,,99,4,0,0,0,,0
bamia-bi-lahme,Bamia bi Lahme,,103,4,1,0,0,,0
bamia-masreya,Bamia Masreya,,107,4,1,0,0,,0
banana-bread,One-Bowl Banana Bread,,74,4,0,0,0,,0
banana-oat-pancakes,Banana Oat Pancakes,,102,4,0,0,0,,0
banana-pancakes,Banana Pancakes,,79,4,1,1,0,,0
banana-pudding,Banana Pudding,,120,4,1,0,0,,0
bandeja-paisa,Bandeja Paisa,,75,4,3,0,0,,0
bandrek,Bandrek,,87,4,1,0,0,,0
bangers-and-mash,Bangers and Mash with Onion Gravy,,70,4,0,2,0,,0
banh-cuon,Bánh Cuốn,,86,4,1,1,0,,0
banh-mi,Bánh Mì,,81,4,2,2,0,,0
banh-xeo,Bánh Xèo,,94,4,2,0,0,,0
banoffee-pie,Banoffee Pie,,119,4,1,0,0,,0
bar-en-croute-de-sel,Bar en Croûte de Sel,,109,4,0,0,0,,0
bara-brith,Bara Brith,,78,4,1,0,0,,0
barbacoa,Beef Barbacoa,,75,4,3,0,0,,0
barmbrack,Barmbrack,,81,4,1,0,0,,0
basbousa,Basbousa,,74,4,0,0,0,,0
basque-cheesecake,Burnt Basque Cheesecake,,124,4,1,0,0,,0
batarekh,Batarekh,,107,4,1,0,0,,0
batata-harra,Batata Harra,,119,4,1,0,0,,0
batates-mohammara,Batates Mohammara,,111,4,1,0,0,,0
bbq-baby-back-ribs,BBQ Baby Back Ribs,,86,4,0,1,0,,0
beef-and-broccoli,Beef and Broccoli,,84,4,3,1,0,,0
beef-bourguignon,Beef Bourguignon,,97,4,1,1,0,,0
beef-chow-fun,Beef Chow Fun,,86,4,2,1,0,,0
beef-empanadas,Beef Empanadas,,80,4,2,1,0,,0
beef-noodle-soup,Taiwanese Beef Noodle Soup,,78,4,3,1,0,,0
beef-rendang,Beef Rendang,,87,4,3,0,0,,0
beef-satay,Beef Satay,,91,4,2,0,0,,0
beef-stew,Hearty Beef Stew,,83,4,1,2,0,,0
beef-stew-and-dumplings,Beef Stew and Dumplings,,113,4,1,2,0,,0
beef-stroganoff,Beef Stroganoff,,88,4,2,1,0,,0
beef-tacos,Ground Beef Tacos,,88,4,3,0,0,,0
beef-wellington,Beef Wellington,,90,4,1,0,0,,0
beetroot-feta-salad,"Beetroot, Orange and Feta Salad",,111,4,0,0,0,,0
beggars-chicken,Beggar's Chicken,,115,4,2,2,0,,0
belgian-frites,Belgian Frites,,80,4,1,0,0,,0
belgian-waffles,Belgian Waffles,,68,4,0,1,0,,0
bellini,Bellini,,114,4,0,0,0,,0
berkoukes,Berkoukes,,95,4,0,0,0,,0
besan-ladoo,Besan Ladoo,,91,4,0,0,0,,0
besara,Besara,,115,4,1,0,0,,0
betengan-mekhalel,Betengan Mekhalel,,95,4,3,0,0,,0
bhel-puri,Bhel Puri,,73,4,0,0,0,,0
bhindi-masala,Bhindi Masala,,72,4,3,0,0,,0
biang-biang-noodles,Biang Biang Noodles,,123,4,2,1,0,,0
bibimbap,Bibimbap,,88,4,1,1,0,,0
bibingka,Bibingka,,98,4,1,0,0,,0
bifana,Bifana,,83,4,2,0,0,,0
bigos,Bigos,,68,4,0,0,0,,0
bircher-muesli,Bircher Muesli,,103,4,0,0,0,,0
birria-tacos,Birria Tacos,,98,4,3,0,0,,0
biscotti,Almond Biscotti,,73,4,0,0,0,,0
biscuits-and-gravy,Biscuits and Sausage Gravy,,82,4,1,1,0,,0
biscuits-buttermilk,Buttermilk Biscuits,,75,4,1,0,0,,0
bitterballen,Bitterballen,,76,4,0,2,0,,0
black-bean-soup,Cuban Black Bean Soup,,125,4,3,0,0,,0
black-forest-cake,Black Forest Cake,,81,4,1,0,0,,0
black-forest-gateau,Black Forest Gateau,,87,4,1,0,0,,0
black-pepper-beef,Black Pepper Beef,,124,4,3,1,0,,0
blanquette-de-veau,Blanquette de Veau,,83,4,1,1,0,,0
blini,Blini with Soured Cream,,79,4,0,1,0,,0
blondies,Brown Butter Blondies,,119,4,0,0,0,,0
bloody-mary,Bloody Mary,,85,4,0,0,0,,0
blt-sandwich,The Perfect BLT,,83,4,0,0,0,,0
blueberry-muffins,Bakery-Style Blueberry Muffins,,82,4,0,0,0,,0
bo-kho,Bò Kho,,88,4,3,1,0,,0
bobotie,Bobotie,,76,4,2,0,0,,0
bollito-misto,Bollito Misto,,124,4,1,0,0,,0
bombay-sandwich,Bombay Sandwich,,85,4,0,0,0,,0
borek,Cheese Börek,,95,4,0,0,0,,0
borscht,Ukrainian Borscht,,84,4,2,0,0,,0
bossam,Bossam,,87,4,3,0,0,,0
boston-baked-beans,Boston Baked Beans,,78,4,0,1,0,,0
boston-cream-pie,Boston Cream Pie,,84,4,1,0,0,,0
bouchee-a-la-reine,Bouchée à la Reine,,104,4,3,1,0,,0
boudin-noir-pommes,Boudin Noir aux Pommes,,105,4,0,0,0,,0
bouillabaisse,Marseille Bouillabaisse,,82,4,2,0,0,,0
boxty,Boxty,,81,4,1,1,0,,0
braised-beef-brisket,Braised Beef Brisket,,110,4,3,1,0,,0
braised-red-cabbage,Braised Red Cabbage,,107,4,0,0,0,,0
brandade-de-morue,Brandade de Morue,,98,4,1,0,0,,0
bratwurst,Bratwurst with Sauerkraut,,64,4,0,0,0,,0
bread-pudding,Bread and Butter Pudding,,74,4,1,0,0,,0
bread-sauce,Bread Sauce,,121,4,1,0,0,,0
breakfast-burrito,Loaded Breakfast Burrito,,74,4,2,0,0,,0
breakfast-hash,Breakfast Hash,,80,4,2,0,0,,0
brigadeiro,Brigadeiro,,87,4,0,0,0,,0
brik,Tunisian Brik,,94,4,0,0,0,,0
brioche,Brioche Loaf,,97,4,0,0,0,,0
brisket,Texas Smoked Brisket,,81,4,0,0,0,,0
broccoli-cheddar-soup,Broccoli Cheddar Soup,,132,4,2,1,0,,0
brodetto,Brodetto all'Anconetana,,124,4,2,0,0,,0
bruschetta,Tomato Bruschetta,,93,4,1,0,0,,0
bsissa,Bsissa,,107,4,0,0,0,,0
bubble-and-squeak,Bubble and Squeak,,118,4,0,0,0,,0
bubble-tea,Brown Sugar Bubble Tea,,90,4,0,0,0,,0
bucatini-all-amatriciana,Bucatini all'Amatriciana,,81,4,1,0,0,,0
buche-de-noel,Bûche de Noël,,107,4,1,1,0,,0
budae-jjigae,Budae Jjigae,,88,4,2,1,0,,0
buffalo-chicken-dip,Buffalo Chicken Dip,,72,4,2,0,0,,0
buffalo-wings,Buffalo Wings,,76,4,0,1,0,,0
bulgogi,Beef Bulgogi,,68,4,3,1,0,,0
bun-bo-hue,Bún Bò Huế,,87,4,3,1,0,,0
bun-cha,Bún Chả,,89,4,3,1,0,,0
bun-thit-nuong,Bún Thịt Nướng,,85,4,1,2,0,,0
bundt-cake,Sour Cream Bundt Cake,,149,4,0,0,0,,0
bunny-chow,Bunny Chow,,85,4,3,0,0,,0
busiate-trapanese,Busiate al Pesto Trapanese,,88,4,1,0,0,,0
butter-chicken,Butter Chicken (Murgh Makhani),,80,4,3,0,0,,0
buttermilk-pancakes,Fluffy Buttermilk Pancakes,,69,4,1,1,0,,0
ca-kho-to,Cá Kho Tộ,,88,4,3,1,0,,0
cacciucco,Cacciucco,,123,4,1,0,0,,0
cachapas,Cachapas,,113,4,0,1,0,,0
cacio-e-pepe,Cacio e Pepe,,78,4,0,0,0,,0
caesar-salad,Caesar Salad,,82,4,1,1,0,,0
cafe-de-olla,Café de Olla,,90,4,0,0,0,,0
caipirinha,Caipirinha,,75,4,1,0,0,,0
caldo-verde,Caldo Verde,,75,4,2,0,0,,0
california-roll,California Roll,,89,4,1,1,0,,0
callaloo,Callaloo,,76,4,3,0,0,,0
camarones-a-la-diabla,Camarones a la Diabla,,85,4,3,0,0,,0
canederli,Canederli,,96,4,0,1,0,,0
canele,Canelés de Bordeaux,,84,4,0,0,0,,0
cannoli,Sicilian Cannoli,,73,4,1,0,0,,0
caponata,Sicilian Caponata,,69,4,0,0,0,,0
caprese-salad,Caprese Salad,,87,4,0,0,0,,0
carbonade-flamande,Carbonade Flamande,,114,4,0,1,0,,0
carbonnade-flamande,Carbonnade Flamande,,82,4,0,1,0,,0
carciofi-alla-giudia,Carciofi alla Giudia,,100,4,0,0,0,,0
carciofi-alla-romana,Carciofi alla Romana,,99,4,1,0,0,,0
carne-asada,Carne Asada,,82,4,3,0,0,,0
carottes-rapees,Carottes Râpées,,103,4,0,0,0,,0
carpaccio,Carpaccio di Manzo,,101,4,0,1,0,,0
carrot-cake,Spiced Carrot Cake,,75,4,0,0,0,,0
cassata-siciliana,Cassata Siciliana,,107,4,0,0,0,,0
cassoulet,Cassoulet de Toulouse,,89,4,1,0,0,,0
castella,Castella Cake,,92,4,0,0,0,,0
cauliflower-cheese,Cauliflower Cheese,,108,4,1,1,0,,0
cauliflower-chicken-fried-rice,Chicken Cauliflower Fried Rice,,95,4,3,1,0,,0
cauliflower-mash,Cauliflower Mash,,108,4,1,0,0,,0
cauliflower-steaks,Roasted Cauliflower Steaks,,121,4,1,0,0,,0
causa-limena,Causa Limeña,,79,4,2,0,0,,0
cawl,Welsh Cawl,,82,4,0,0,0,,0
celeri-remoulade,Céleri Rémoulade,,102,4,1,0,0,,0
ceviche,Peruvian Ceviche,,84,4,3,0,0,,0
cha-gio,Chả Giò,,84,4,1,1,0,,0
chaas,Chaas,,78,4,2,0,0,,0
chai-latte,Masala Chai Latte,,106,4,1,0,0,,0
chakalaka,Chakalaka,,94,4,3,0,0,,0
chakhokhbili,Chakhokhbili,,128,4,1,0,0,,0
challah,Challah,,121,4,0,0,0,,0
champ,Champ,,113,4,1,0,0,,0
chana-chaat,Chana Chaat,,116,4,2,0,0,,0
chana-masala,Chana Masala,,84,4,3,0,0,,0
chapati,Chapati (Roti),,78,4,0,0,0,,0
chapli-kebab,Chapli Kebab,,79,4,1,0,0,,0
char-kway-teow,Char Kway Teow,,91,4,2,2,0,,0
char-siu,Char Siu Pork,,86,4,2,1,0,,0
char-siu-bao,Char Siu Bao,,81,4,1,2,0,,0
chawanmushi,Chawanmushi,,91,4,0,1,0,,0
cheese-fondue,Cheese Fondue,,78,4,2,0,0,,0
chelsea-buns,Chelsea Buns,,125,4,0,0,0,,0
cheung-fun,Cheung Fun,,107,4,1,1,0,,0
chia-pudding,Chia Pudding,,89,4,1,0,0,,0
chicken-65,Chicken 65,,92,4,3,0,0,,0
chicken-adobo,Chicken Adobo,,84,4,2,1,0,,0
chicken-alfredo,Chicken Alfredo,,134,4,2,0,0,,0
chicken-and-leek-pie,Chicken and Leek Pie,,108,4,2,1,0,,0
chicken-and-waffles,Chicken and Waffles,,71,4,1,1,0,,0
chicken-biryani,Hyderabadi Chicken Biryani,,79,4,2,0,0,,0
chicken-caesar-lettuce-cups,Chicken Caesar Lettuce Cups,,92,4,1,0,0,,0
chicken-caesar-wrap,Chicken Caesar Wrap,,87,4,1,1,0,,0
chicken-chettinad,Chicken Chettinad,,92,4,3,0,0,,0
chicken-enchiladas,Chicken Enchiladas Rojas,,80,4,3,0,0,,0
chicken-fajitas,Chicken Fajitas,,80,4,2,0,0,,0
chicken-feet-black-bean,Chicken Feet in Black Bean Sauce,,99,4,3,1,0,,0
chicken-fried-steak,Chicken Fried Steak,,80,4,1,1,0,,0
chicken-inasal,Chicken Inasal,,87,4,3,0,0,,0
chicken-karaage,Chicken Karaage,,89,4,2,2,0,,0
chicken-karahi,Chicken Karahi,,97,4,3,0,0,,0
chicken-katsu-curry,Chicken Katsu Curry,,76,4,3,2,0,,0
chicken-kiev,Chicken Kiev,,89,4,1,1,0,,0
chicken-korma,Chicken Korma,,90,4,3,0,0,,0
chicken-lollipop,Chicken Lollipop,,89,4,3,2,0,,0
chicken-marsala,Chicken Marsala,,117,4,2,1,0,,0
chicken-milanese,Chicken Milanese,,85,4,0,1,0,,0
chicken-noodle-soup,Chicken Noodle Soup,,87,4,1,0,0,,0
chicken-paprikash,Chicken Paprikash,,75,4,1,1,0,,0
chicken-parmigiana,Chicken Parmigiana,,75,4,2,1,0,,0
chicken-piccata,Chicken Piccata,,111,4,3,1,0,,0
chicken-pot-pie,Chicken Pot Pie,,88,4,2,1,0,,0
chicken-quesadilla,Chicken Quesadilla,,117,4,2,0,0,,0
chicken-rice-protein-bowl,Chicken and Rice Protein Bowl,,111,4,1,0,0,,0
chicken-salad,Chicken Salad,,76,4,1,0,0,,0
chicken-satay,Chicken Satay,,89,4,3,0,0,,0
chicken-shawarma,Chicken Shawarma,,82,4,1,0,0,,0
chicken-souvlaki,Chicken Souvlaki,,76,4,1,0,0,,0
chicken-tagine-olives,Chicken Tagine with Olives,,76,4,3,0,0,,0
chicken-teriyaki,Chicken Teriyaki,,79,4,2,1,0,,0
chicken-tikka-masala,Chicken Tikka Masala,,88,4,3,0,0,,0
chicken-tortilla-soup,Chicken Tortilla Soup,,125,4,3,0,0,,0
chickpea-socca,Chickpea Socca,,95,4,0,0,0,,0
chilaquiles,Chilaquiles Verdes,,82,4,2,0,0,,0
chile-relleno,Chile Relleno,,93,4,3,0,0,,0
chili-cheese-fries,Chili Cheese Fries,,83,4,3,0,0,,0
chili-con-carne,Chili con Carne,,81,4,2,0,0,,0
chilli-crab,Singapore Chilli Crab,,117,4,3,0,0,,0
chilli-oil,Sichuan Chilli Oil,,105,4,2,0,0,,0
chilli-paneer,Chilli Paneer,,92,4,3,2,0,,0
chimichurri-steak,Chimichurri Steak,,85,4,2,0,0,,0
chocolate-chip-cookies,Brown Butter Chocolate Chip Cookies,,77,4,0,0,0,,0
chocolate-chip-muffins,Chocolate Chip Muffins,,122,4,1,1,0,,0
chocolate-cupcakes,Chocolate Cupcakes,,104,4,1,0,0,,0
chocolate-lava-cake,Molten Chocolate Lava Cake,,84,4,1,0,0,,0
chocolate-milkshake,Chocolate Milkshake,,77,4,0,0,0,,0
chocolate-mousse,Chocolate Mousse,,126,4,1,0,0,,0
chocolate-souffle,Chocolate Soufflé,,87,4,0,0,0,,0
chole-bhature,Chole Bhature,,85,4,3,1,0,,0
chorba-frik,Chorba Frik,,109,4,0,0,0,,0
choucroute,Choucroute Garnie,,104,4,1,0,0,,0
chouquettes,Chouquettes,,97,4,0,0,0,,0
chow-mein,Chicken Chow Mein,,78,4,3,1,0,,0
choy-sum-oyster-sauce,Choy Sum in Oyster Sauce,,113,4,2,1,0,,0
christmas-pudding,Christmas Pudding,,126,4,0,1,0,,0
churros,Cinnamon Churros,,77,4,1,0,0,,0
ciambellone,Ciambellone,,109,4,0,0,0,,0
cinnamon-rolls,Overnight Cinnamon Rolls,,87,4,0,0,0,,0
cioppino,Cioppino,,89,4,3,0,0,,0
clafoutis,Cherry Clafoutis,,100,4,1,0,0,,0
classic-cheeseburger,Classic Smash Cheeseburger,,81,4,0,0,0,,0
classic-margarita,Classic Margarita,,78,4,1,0,0,,0
classic-omelette,Three-Egg Omelette,,94,4,0,0,0,,0
classic-potato-salad,Classic Potato Salad,,87,4,1,0,0,,0
classic-waffles,Crisp Belgian-Style Waffles,,71,4,1,1,0,,0
claypot-rice,Claypot Rice,,119,4,2,1,0,,0
cloud-bread,Cloud Bread,,108,4,0,0,0,,0
club-sandwich,Club Sandwich,,122,4,0,0,0,,0
cobb-salad,Cobb Salad,,86,4,2,1,0,,0
cochinita-pibil,Cochinita Pibil,,89,4,3,0,0,,0
coconut-chutney,Coconut Chutney,,77,4,2,0,0,,0
coconut-dal,Coconut Dal,,126,4,3,0,0,,0
coda-alla-vaccinara,Coda alla Vaccinara,,133,4,2,0,0,,0
coffee-cake,Cinnamon Streusel Coffee Cake,,117,4,0,1,0,,0
colcannon,Colcannon,,70,4,2,0,0,,0
